2022-12-03 09:07:32.958 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 19849 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-03 09:07:32.960 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-03 09:10:58.337 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 19915 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-03 09:10:58.339 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-03 09:21:32.829 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 20608 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-03 09:21:32.831 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-03 09:27:07.589 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 21031 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-03 09:27:07.591 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-03 09:48:59.846 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 22194 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-03 09:48:59.848 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
